id;holiday_name;date
1;New Year;01.01.2022 00:00
2;Christmas;07.01.2022 00:00
3;Defender of the fatherland day;23.02.2022 00:00
4;International Woman's day;08.03.2022 00:00
5;Spring and labor day;01.05.2022 00:00
6;Victory Day;09.05.2022 00:00
7;russia day;12.06.2022 00:00
8;Knowledge day;01.09.2022 00:00
9;Unity Day;04.11.2022 00:00
10;Easter;24.04.2022 00:00
11;Easter;16.04.2023 00:00
12;Ukrainian Independence day;24.08.2022 00:00
13;Pokrova;14.10.2022 00:00
14;New Year;01.01.2023 00:00
15;Christmas;07.01.2023 00:00
16;Defender of the fatherland day;23.02.2023 00:00
17;International Woman's day;08.03.2023 00:00
18;Spring and labor day;01.05.2023 00:00
19;Victory Day;09.05.2023 00:00
20;russia day;12.06.2023 00:00
21;Knowledge day;01.09.2023 00:00
22;Unity Day;04.11.2023 00:00
23;Ukrainian Independence day;24.08.2023 00:00
24;Pokrova;14.10.2023 00:00
